Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-17,10 Things I Hate About You,1999,https://boxd.it/3RN5Of,5,Yes,,2023-02-16
2023-02-17,(500) Days of Summer,2009,https://boxd.it/3RN6UX,5,,,2023-02-16
2023-02-17,"tick, tick... BOOM!",2021,https://boxd.it/3RN8R7,5,,,2023-02-16
2023-02-17,The Amazing Spider-Man,2012,https://boxd.it/3RNabn,4,,,2023-02-16
2023-02-17,The Amazing Spider-Man 2,2014,https://boxd.it/3RNbZD,3,,,2023-02-16
2023-02-17,Tangled,2010,https://boxd.it/3RNcXN,5,,,2023-02-16
2023-02-17,Jennifer's Body,2009,https://boxd.it/3RNdY3,4,,,2023-02-16
2023-02-17,Fresh,2022,https://boxd.it/3RNfjB,4.5,,,2023-02-16
2023-02-17,Rogue One: A Star Wars Story,2016,https://boxd.it/3RNhGR,3.5,,,2023-02-16
2023-02-17,American Assassin,2017,https://boxd.it/3RNjaj,2.5,,,2023-02-16
2023-02-17,The First Time,2012,https://boxd.it/3RNkyr,3.5,,,2023-02-16
2023-02-17,The Maze Runner,2014,https://boxd.it/3RNmaB,4.5,,,2023-02-16
2023-02-17,Maze Runner: The Scorch Trials,2015,https://boxd.it/3RNmUz,3.5,,,2023-02-16
2023-02-17,Maze Runner: The Death Cure,2018,https://boxd.it/3RNo25,4,,,2023-02-16
2023-02-17,Not Okay,2022,https://boxd.it/3RNpyL,1.5,,,2023-02-16
2023-02-17,Do Revenge,2022,https://boxd.it/3RNvqD,4.5,,,2023-02-16
2023-02-17,The Spectacular Now,2013,https://boxd.it/3RNzIL,2,,,2023-02-16
2023-02-17,Not Another Teen Movie,2001,https://boxd.it/3RNC9f,4.5,,,2023-02-16
2023-04-05,Daisy Jones & the Six,2023,https://boxd.it/44DMcb,4.5,,,2023-04-04
2023-04-07,The Super Mario Bros. Movie,2023,https://boxd.it/45ctGV,3.5,,in theatres,2023-04-06
2023-04-10,Prom Pact,2023,https://boxd.it/46i9Qn,4,,,2023-04-09
2023-04-10,The Menu,2022,https://boxd.it/46kpB3,1,,,2023-04-09
2023-02-17,The Edge of Seventeen,2016,https://boxd.it/3RNAHJ,5,Yes,,2023-05-05
2023-05-08,Stuck in Love,2012,https://boxd.it/4dERQD,4,Yes,,2023-05-07
2023-05-11,The Hunger Games,2012,https://boxd.it/4ezKzf,4,,,2023-05-10
2023-05-11,The Hunger Games: Catching Fire,2013,https://boxd.it/4ezLcB,5,,,2023-05-10
2023-05-11,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4ezLV7,3.5,,,2023-05-10
2023-05-11,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4ezNW7,3.5,,,2023-05-11
2023-05-11,Missing,2023,https://boxd.it/4ezRRZ,3,,,2023-05-11
2023-05-13,"Love, Rosie",2014,https://boxd.it/4eXSUN,4.5,,,2023-05-12
2023-05-15,The Mortal Instruments: City of Bones,2013,https://boxd.it/4fvhGd,2,,,2023-05-14
2023-05-19,Juno,2007,https://boxd.it/4gp8fJ,4,,,2023-05-18
2023-05-24,La La Land,2016,https://boxd.it/4hIK89,5,Yes,,2023-05-24
2023-05-26,Everything Everywhere All at Once,2022,https://boxd.it/4i95KP,5,,i cry,2023-05-25
2023-06-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4kOWC5,4,,,2023-06-05
2023-06-11,A Walk to Remember,2002,https://boxd.it/4mhgYF,5,Yes,,2023-06-10
2023-06-12,Spider-Man,2002,https://boxd.it/4mxJZf,3.5,,,2023-06-11
2023-06-12,Spider-Man 2,2004,https://boxd.it/4mA4kB,4.5,,,2023-06-11
2023-06-16,Spider-Man 3,2007,https://boxd.it/4nH1Sj,3.5,,,2023-06-15
2023-06-26,"Crazy, Stupid, Love.",2011,https://boxd.it/4qsU9F,5,Yes,,2023-06-25
2023-06-28,The Amazing Spider-Man,2012,https://boxd.it/4rcWql,4,Yes,,2023-06-27
2023-06-29,The Amazing Spider-Man 2,2014,https://boxd.it/4rudcf,3,Yes,,2023-06-28
2023-07-01,Hamilton,2020,https://boxd.it/4rRcX1,5,Yes,,2023-06-30
2024-11-28,Hamilton,2020,https://boxd.it/7V0FdJ,,Yes,on stage,2023-07-01
2023-07-14,The Matrix,1999,https://boxd.it/4vMDLn,4,,,2023-07-13
2023-07-17,Inception,2010,https://boxd.it/4wKH9H,4.5,,,2023-07-16
2023-07-22,Ghost in the Shell,1995,https://boxd.it/4yosKH,3.5,,,2023-07-21
2023-07-26,Ex Machina,2015,https://boxd.it/4AjH1v,5,,,2023-07-25
2023-07-30,Teen Beach Movie,2013,https://boxd.it/4BYmaH,4,Yes,,2023-07-29
2023-07-31,Barbie,2023,https://boxd.it/4Cj4SN,5,,in theatres,2023-07-30
2023-08-01,Annihilation,2018,https://boxd.it/4CMII7,3.5,,,2023-07-31
2023-08-14,Twelve Monkeys,1995,https://boxd.it/4GZ0Lt,4,,,2023-08-13
2023-08-16,Minority Report,2002,https://boxd.it/4HNGHX,4,,,2023-08-16
2023-08-28,27 Dresses,2008,https://boxd.it/4LwrBH,3.5,Yes,,2023-08-28
2023-09-18,The Imitation Game,2014,https://boxd.it/4RxXLl,4,,,2023-09-17
2023-09-19,Little Miss Sunshine,2006,https://boxd.it/4RUDKN,5,,,2023-09-18
2023-09-21,Me Before You,2016,https://boxd.it/4SlHX1,2.5,,,2023-09-20
2023-09-28,21 Jump Street,2012,https://boxd.it/4UnTA1,5,Yes,,2023-09-27
2023-09-30,22 Jump Street,2014,https://boxd.it/4ULf3p,4,Yes,,2023-09-29
2023-10-17,Taylor Swift: The Eras Tour,2023,https://boxd.it/50xRsN,5,,in theatres,2023-10-16
2023-10-19,"Red, White & Royal Blue",2023,https://boxd.it/51boo3,4,,,2023-10-18
2023-10-30,The Other Zoey,2023,https://boxd.it/5516ED,2.5,,,2023-10-29
2023-11-02,The Rocky Horror Picture Show,1975,https://boxd.it/565ImJ,3,,,2023-11-01
2023-11-06,Ex Machina,2015,https://boxd.it/57w0xB,5,Yes,,2023-11-05
2023-11-11,Bodies Bodies Bodies,2022,https://boxd.it/58UiUZ,4,,,2023-11-10
2023-11-13,(500) Days of Summer,2009,https://boxd.it/59wuod,5,Yes,,2023-11-12
2023-11-14,Starstruck,2010,https://boxd.it/59SNn3,4,Yes,,2023-11-13
2023-11-14,Bottoms,2023,https://boxd.it/59YMG1,4.5,,,2023-11-13
2023-11-20,Miss Americana,2020,https://boxd.it/5bRDPn,5,,,2023-11-19
2023-11-21,Kung Fu Panda,2008,https://boxd.it/5cbY2B,4.5,Yes,,2023-11-20
2023-11-23,Kung Fu Panda 2,2011,https://boxd.it/5cMf4L,4,Yes,,2023-11-22
2023-11-29,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5eYf6z,4.5,,in theatres,2023-11-28
2023-12-05,The Hunger Games,2012,https://boxd.it/5gQppD,4,Yes,,2023-12-04
2023-12-09,The Hunger Games: Catching Fire,2013,https://boxd.it/5ifqvB,5,Yes,,2023-12-09
2023-12-17,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/5l1hlV,3.5,Yes,,2023-12-16
2023-12-18,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/5ljvWx,4,Yes,,2023-12-17
2023-12-23,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5npvKL,4.5,Yes,train time,2023-12-22
2023-12-28,Saltburn,2023,https://boxd.it/5pZxuv,4,,,2023-12-27
