Date,Name,Year,Letterboxd URI,Rating
2023-02-17,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2023-02-17,Mean Girls,2004,https://boxd.it/1VNg,5
2023-02-17,The Amazing Spider-Man,2012,https://boxd.it/27PI,4
2023-02-17,Tangled,2010,https://boxd.it/15gO,5
2023-02-17,Big Hero 6,2014,https://boxd.it/5rje,5
2023-02-17,Jennifer's Body,2009,https://boxd.it/1Efw,4
2023-02-17,Fresh,2022,https://boxd.it/tCNi,4.5
2023-02-17,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4.5
2023-02-17,The First Time,2012,https://boxd.it/2XLS,3.5
2023-02-17,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,4
2023-02-17,Do Revenge,2022,https://boxd.it/sFiA,4.5
2023-02-19,The Spectacular Now,2013,https://boxd.it/4VSG,2
2023-02-19,Not Okay,2022,https://boxd.it/vCEY,1.5
2023-04-07,Daisy Jones & the Six,2023,https://boxd.it/FmyA,4.5
2023-04-11,The Menu,2022,https://boxd.it/lScm,1
2023-04-12,The Batman,2022,https://boxd.it/eDGs,4
2023-04-12,Ready or Not,2019,https://boxd.it/kOf0,4
2023-04-13,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3.5
2023-04-13,Prom Pact,2023,https://boxd.it/z8X0,4
2023-05-06,The Edge of Seventeen,2016,https://boxd.it/d5nu,5
2023-05-08,Stuck in Love,2012,https://boxd.it/3L08,4
2023-05-11,The Hunger Games,2012,https://boxd.it/2uds,4
2023-05-11,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2023-05-11,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3.5
2023-05-11,Missing,2023,https://boxd.it/sS1W,3
2023-05-13,"Love, Rosie",2014,https://boxd.it/62hE,4.5
2023-05-15,The Mortal Instruments: City of Bones,2013,https://boxd.it/44va,2
2023-05-19,Juno,2007,https://boxd.it/210a,4
2023-05-24,Folklore: The Long Pond Studio Sessions,2020,https://boxd.it/sRk4,5
2023-05-24,La La Land,2016,https://boxd.it/a5fa,5
2023-05-26,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-05-27,Pitch Perfect,2012,https://boxd.it/3OsE,5
2023-06-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2023-06-11,A Walk to Remember,2002,https://boxd.it/1WLq,5
2023-06-12,Spider-Man,2002,https://boxd.it/2a8i,3.5
2023-06-12,Spider-Man 2,2004,https://boxd.it/2a88,4.5
2023-06-16,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2023-06-26,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,5
2023-06-29,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3
2023-07-01,Hamilton,2020,https://boxd.it/kmvE,5
2023-07-14,The Matrix,1999,https://boxd.it/2a1m,4
2023-07-17,Inception,2010,https://boxd.it/1skk,4.5
2023-07-22,Ghost in the Shell,1995,https://boxd.it/1YYc,3.5
2023-07-26,Ex Machina,2015,https://boxd.it/7T2k,5
2023-07-30,Teen Beach Movie,2013,https://boxd.it/5rKa,4
2023-07-31,Barbie,2023,https://boxd.it/bCLK,5
2023-08-01,Annihilation,2018,https://boxd.it/9yzm,3.5
2023-08-14,Twelve Monkeys,1995,https://boxd.it/2beQ,4
2023-08-16,Minority Report,2002,https://boxd.it/2aWi,4
2023-08-28,27 Dresses,2008,https://boxd.it/21x4,3.5
2023-09-18,The Imitation Game,2014,https://boxd.it/6aig,4
2023-09-19,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2023-09-21,Me Before You,2016,https://boxd.it/9n98,2.5
2023-09-28,21 Jump Street,2012,https://boxd.it/J0,5
2023-09-30,22 Jump Street,2014,https://boxd.it/5Fvy,4
2023-10-17,Taylor Swift: The Eras Tour,2023,https://boxd.it/HTIi,5
2023-10-30,The Other Zoey,2023,https://boxd.it/ynHY,2.5
2023-11-11,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2023-11-13,(500) Days of Summer,2009,https://boxd.it/1EmM,5
2023-11-14,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4,5
2023-11-14,Starstruck,2010,https://boxd.it/1cjq,4
2023-11-14,Bottoms,2023,https://boxd.it/uGf2,4.5
2023-11-20,Miss Americana,2020,https://boxd.it/oifq,5
2023-11-23,Kung Fu Panda 2,2011,https://boxd.it/G36,4
2023-11-23,Kung Fu Panda,2008,https://boxd.it/1Yws,4.5
2023-12-18,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,4
2023-12-28,Saltburn,2023,https://boxd.it/z4eg,4
2024-01-08,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,3
2024-01-13,Mean Girls,2024,https://boxd.it/p6nO,3.5
2024-01-28,The Queen's Gambit,2020,https://boxd.it/s1Ym,5
2024-02-04,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,4
2024-04-04,High School Musical,2006,https://boxd.it/1V0y,4.5
2024-04-04,High School Musical 2,2007,https://boxd.it/1PIu,4
2024-04-04,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,5
2024-04-04,Camp Rock,2008,https://boxd.it/1PHw,3.5
2024-04-04,Princess Protection Program,2009,https://boxd.it/1F5s,4
2024-04-04,Camp Rock 2: The Final Jam,2010,https://boxd.it/Sru,2
2024-04-04,Lemonade Mouth,2011,https://boxd.it/4bG,4
2024-04-04,Geek Charming,2011,https://boxd.it/2Q8k,3.5
2024-04-04,Radio Rebel,2012,https://boxd.it/39mq,4
2024-04-04,Teen Beach 2,2015,https://boxd.it/aArm,3
2024-04-04,Descendants,2015,https://boxd.it/8rMm,4
2024-04-04,Z-O-M-B-I-E-S,2018,https://boxd.it/hp12,3
2024-04-24,Theater Camp,2023,https://boxd.it/Bfbm,4
2024-04-26,Música,2024,https://boxd.it/AA9a,3.5
2024-04-28,West Side Story,2021,https://boxd.it/iwt0,4.5
2024-05-18,Challengers,2024,https://boxd.it/zld0,4.5
2024-05-21,Emma.,2020,https://boxd.it/kmg0,3
2024-05-26,The Atlantic City Story,2020,https://boxd.it/q8iS,2.5
2024-05-26,Pinball: The Man Who Saved the Game,2022,https://boxd.it/wi5Q,4
2024-05-26,Shiva Baby,2020,https://boxd.it/oIv0,4
2024-05-27,Nerve,2016,https://boxd.it/aJIc,3.5
2024-05-28,Up,2009,https://boxd.it/1OEc,5
2024-05-28,Lava,2014,https://boxd.it/8S9G,4
2024-05-28,Bao,2018,https://boxd.it/iEl4,5
2024-06-24,Newsies,2017,https://boxd.it/gxzk,5
2024-06-25,Set It Up,2018,https://boxd.it/dpik,4
2024-06-25,Sydney White,2007,https://boxd.it/1VsM,2.5
