Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-02-17,10 Things I Hate About You,1999,https://boxd.it/3RN5Of,5,Yes,literally the best romcom ever,,2023-02-16
2023-02-17,(500) Days of Summer,2009,https://boxd.it/3RN6UX,5,,made me lose my mind in the best way possible,,2023-02-16
2023-02-17,"tick, tick... BOOM!",2021,https://boxd.it/3RN8R7,5,,yes just yes,,2023-02-16
2023-02-17,The Amazing Spider-Man,2012,https://boxd.it/3RNabn,4,,andrew garfield peter parker / spider man is good fight me,,2023-02-16
2023-02-17,The Amazing Spider-Man 2,2014,https://boxd.it/3RNbZD,3,,"everything about this movie (actors, acting, cinematography) is good except the actual storyline",,2023-02-16
2023-02-17,Tangled,2010,https://boxd.it/3RNcXN,5,,BEST DISNEY PRINCESS MOVIEEEEEE,,2023-02-16
2023-02-17,Jennifer's Body,2009,https://boxd.it/3RNdY3,4,,unironically such a good movie ,,2023-02-16
2023-02-17,Fresh,2022,https://boxd.it/3RNfjB,4.5,,a movie about this topic should not be this good,,2023-02-16
2023-02-17,Rogue One: A Star Wars Story,2016,https://boxd.it/3RNhGR,3.5,,the only decent disney star wars film,,2023-02-16
2023-02-17,American Assassin,2017,https://boxd.it/3RNjaj,2.5,,dylan orbien is hot,,2023-02-16
2023-02-17,The First Time,2012,https://boxd.it/3RNkyr,3.5,,its cute its awkward its very much teenagers in hs its so real for that ,,2023-02-16
2023-02-17,The Maze Runner,2014,https://boxd.it/3RNmaB,4.5,,nothing to say other than its really good and stays true to the book,,2023-02-16
2023-02-17,Maze Runner: The Scorch Trials,2015,https://boxd.it/3RNmUz,3.5,,meh i wish it was more like the book but its still cool,,2023-02-16
2023-02-17,Maze Runner: The Death Cure,2018,https://boxd.it/3RNo25,4,,makes me angry and upset and i cry,,2023-02-16
2023-02-17,Not Okay,2022,https://boxd.it/3RNpyL,1.5,,"cringe in a ""i actually dont know if i can finish this"" way but dylan obrien is there",,2023-02-16
