Date,Name,Year,Letterboxd URI
2023-02-17,The Batman,2022,https://boxd.it/eDGs
2023-02-17,La La Land,2016,https://boxd.it/a5fa
2023-02-17,Whiplash,2014,https://boxd.it/7bQA
2023-02-17,Black Panther,2018,https://boxd.it/8MHs
2023-02-17,Avengers: Endgame,2019,https://boxd.it/9vE4
2023-02-17,Avengers: Infinity War,2018,https://boxd.it/9vEe
2023-02-17,The Social Network,2010,https://boxd.it/17ue
2023-02-17,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2023-02-17,Thor: Ragnarok,2017,https://boxd.it/8MHi
2023-02-17,Ratatouille,2007,https://boxd.it/27ww
2023-02-17,Coco,2017,https://boxd.it/bYJQ
2023-02-17,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2023-02-17,Star Wars,1977,https://boxd.it/72s
2023-02-17,Inside Out,2015,https://boxd.it/4KHC
2023-02-17,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2023-02-17,Back to the Future,1985,https://boxd.it/2b8e
2023-02-17,Up,2009,https://boxd.it/1OEc
2023-02-17,Titanic,1997,https://boxd.it/2a2k
2023-02-17,10 Things I Hate About You,1999,https://boxd.it/23AO
2023-02-17,The Breakfast Club,1985,https://boxd.it/27q4
2023-02-17,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2023-02-17,Captain Marvel,2019,https://boxd.it/9vSA
2023-02-17,(500) Days of Summer,2009,https://boxd.it/1EmM
2023-02-17,Toy Story,1995,https://boxd.it/29qA
2023-02-17,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2023-02-17,Mean Girls,2004,https://boxd.it/1VNg
2023-02-17,Return of the Jedi,1983,https://boxd.it/27Vm
2023-02-17,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2023-02-17,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2023-02-17,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2023-02-17,Luca,2021,https://boxd.it/ipjC
2023-02-17,Turning Red,2022,https://boxd.it/ipkq
2023-02-17,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2023-02-17,The Amazing Spider-Man,2012,https://boxd.it/27PI
2023-02-17,The Amazing Spider-Man 2,2014,https://boxd.it/3utM
2023-02-17,Zootopia,2016,https://boxd.it/84xS
2023-02-17,The Devil Wears Prada,2006,https://boxd.it/2awE
2023-02-17,Tangled,2010,https://boxd.it/15gO
2023-02-17,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2023-02-17,Moana,2016,https://boxd.it/8tfY
2023-02-17,Big Hero 6,2014,https://boxd.it/5rje
2023-02-17,Palm Springs,2020,https://boxd.it/lCXQ
2023-02-17,Jennifer's Body,2009,https://boxd.it/1Efw
2023-02-17,The Queen's Gambit,2020,https://boxd.it/s1Ym
2023-02-17,Fresh,2022,https://boxd.it/tCNi
2023-02-17,American Assassin,2017,https://boxd.it/eFLE
2023-02-17,The First Time,2012,https://boxd.it/2XLS
2023-02-17,The Maze Runner,2014,https://boxd.it/5YPM
