Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2023-02-17,The Batman,2022,,No,,,https://boxd.it/eDGs,True
2023-02-17,Mean Girls,2004,,No,,,https://boxd.it/1VNg,True
2023-02-17,Return of the Jedi,1983,,No,,,https://boxd.it/27Vm,True
2023-02-17,Rogue One: A Star Wars Story,2016,3.5,No,,2023-02-16,https://boxd.it/aPvy,True
2023-02-17,Star Wars: The Rise of Skywalker,2019,,No,,,https://boxd.it/5xlK,False
2023-02-17,Mean Girls,2004,,No,,,https://boxd.it/p6nO,True
2023-02-17,Ferris Bueller's Day Off,1986,,No,,,https://boxd.it/1YPY,False
2023-02-17,Luca,2021,,No,,,https://boxd.it/ipjC,False
2023-02-17,Turning Red,2022,,No,,,https://boxd.it/ipkq,False
2023-02-17,"tick, tick... BOOM!",2021,5.0,No,,2023-02-16,https://boxd.it/jz2e,True
2023-02-17,The Amazing Spider-Man,2012,4.0,No,,2023-02-16,https://boxd.it/27PI,True
2023-02-17,The Amazing Spider-Man 2,2014,3.0,No,,2023-02-16,https://boxd.it/3utM,True
2023-02-17,Zootopia,2016,,No,,,https://boxd.it/84xS,True
2023-02-17,The Devil Wears Prada,2006,,No,,,https://boxd.it/2awE,True
2023-02-17,Tangled,2010,5.0,No,,2023-02-16,https://boxd.it/15gO,True
2023-02-17,Star Wars: The Force Awakens,2015,,No,,,https://boxd.it/4vru,True
2023-02-17,Ant-Man and the Wasp,2018,,No,,,https://boxd.it/cqUW,True
2023-02-17,Big Hero 6,2014,,No,,,https://boxd.it/5rje,True
2023-02-17,Palm Springs,2020,,No,,,https://boxd.it/lCXQ,True
2023-02-17,Jennifer's Body,2009,4.0,No,,2023-02-16,https://boxd.it/1Efw,True
2023-02-17,The Queen's Gambit,2020,,No,,,https://boxd.it/s1Ym,True
2023-02-17,Fresh,2022,4.5,No,,2023-02-16,https://boxd.it/tCNi,True
2023-02-17,American Assassin,2017,2.5,No,,2023-02-16,https://boxd.it/eFLE,False
2023-02-17,The First Time,2012,3.5,No,,2023-02-16,https://boxd.it/2XLS,True
2023-02-17,Maze Runner: The Scorch Trials,2015,3.5,No,,2023-02-16,https://boxd.it/9hwA,True
2023-02-17,Maze Runner: The Death Cure,2018,4.0,No,,2023-02-16,https://boxd.it/bakw,True
2023-02-17,Not Okay,2022,1.5,No,,2023-02-16,https://boxd.it/vCEY,True
2023-02-17,Do Revenge,2022,4.5,No,,2023-02-16,https://boxd.it/sFiA,True
2023-02-17,The Spectacular Now,2013,2.0,No,,2023-02-16,https://boxd.it/4VSG,False
2023-02-17,The Edge of Seventeen,2016,5.0,Yes,,2023-05-05,https://boxd.it/d5nu,True
2023-02-17,Not Another Teen Movie,2001,4.5,No,,2023-02-16,https://boxd.it/1TWq,True
2023-02-17,Moana,2016,,No,,,https://boxd.it/8tfY,True
2023-02-17,Toy Story,1995,,No,,,https://boxd.it/29qA,False
2023-02-17,The Maze Runner,2014,4.5,No,,2023-02-16,https://boxd.it/5YPM,True
2023-02-17,(500) Days of Summer,2009,5.0,No,,2023-02-16,https://boxd.it/1EmM,True
2023-02-17,Coco,2017,,No,,,https://boxd.it/bYJQ,False
2023-02-17,Ratatouille,2007,,No,,,https://boxd.it/27ww,False
2023-02-17,Inside Out,2015,,No,,,https://boxd.it/4KHC,False
2023-02-17,Thor: Ragnarok,2017,,No,,,https://boxd.it/8MHi,True
2023-02-17,The Perks of Being a Wallflower,2012,,No,,,https://boxd.it/2ZA8,True
2023-02-17,Spider-Man: Homecoming,2017,,No,,,https://boxd.it/aboM,True
2023-02-17,The Social Network,2010,,No,,,https://boxd.it/17ue,True
